#num	clst	ipv	ip	tcp	qopt	ittl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
27	0x1a	0x00	0x40	0x02	0x0040	64	0	0	10,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	25	unix	Linux	3.x		 Various distinctive flavors of Linux:
28	0x1a	0x00	0x40	0x02	0x0040	64	0	0	4,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	17	unix	Linux	2.4.x-2.6.x		 Various distinctive flavors of Linux:
29	0x18	0x00	0x40	0x02	0x0040	64	0	0	0,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	11	unix	Linux	2.2.x-3.x		 Various distinctive flavors of Linux:
30	0x18	0x00	0x40	0x02	0x0040	64	0	0	0,0	6	0x02,0x01,0x01,0x04,0x01,0x03	0	2	2	13	unix	Linux	2.2.x-3.x (no timestamps)		 Various distinctive flavors of Linux:
31	0x08	0x00	0x40	0x02	0x0040	64	0	0	0,0	1	0x02	0	2	2	12	unix	Linux	2.2.x-3.x (barebone)		 Various distinctive flavors of Linux:
32	0x08	0x00	0x40	0x02	0x0040	128	0	0	16384,0	4	0x02,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
33	0x08	0x00	0x40	0x02	0x0040	128	0	0	65535,0	4	0x02,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
34	0x08	0x00	0x40	0x02	0x0040	128	0	0	65535,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
35	0x08	0x00	0x40	0x02	0x0040	128	0	0	131070,1	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
36	0x08	0x00	0x40	0x02	0x0040	128	0	0	262140,2	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
37	0x08	0x00	0x40	0x02	0x0040	128	0	0	8192,0	4	0x02,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8		 Windows
